epoch,train_loss,train_kl,train_rec,train_clf,val_f1,val_acc,val_mse,val_perceptual,decoder_grad_norm
1,96.95736395143994,0.21449475340983448,43.38026577818628,0.6909781004868302,0.1997322142124176,0.4267912805080414,0.07964916730468924,39.94565166126598,0.15489416698458408
2,79.75126857383579,0.6404232306807649,35.748257281733494,0.6351033682916679,0.21135714650154114,0.37071651220321655,0.025307080962441185,27.26015125621449,0.03693501302831809
3,68.0740603278665,1.0515914980102987,31.375303866816502,0.5961160706538781,0.24325576424598694,0.38317757844924927,0.02358797040175308,26.804180492054332,0.0727954642466274
4,63.23450522329293,1.4633283544989193,31.131516101313572,0.549535238275341,0.27192628383636475,0.37383177876472473,0.02256632528521798,26.38497075167569,0.07150259583137245
5,60.00266587500479,1.8376528188294055,30.91711762372185,0.5099941825165468,0.2139572650194168,0.40342679619789124,0.02151031605899334,25.885168942538176,0.03625872583450731
6,57.304407381543925,2.30577426330716,30.83653128380869,0.4859015661127427,0.1993750035762787,0.4080996811389923,0.020516837523742157,25.273880698464133,0.07938218443308638
7,55.344586391074984,2.6840650100334016,30.31832638908835,0.47166107098261517,0.20797409117221832,0.4112149477005005,0.019314473494887352,24.52671259099787,0.10449376495243907
8,54.74200020584406,2.929479309156829,30.31825903350232,0.45882102087432264,0.20488177239894867,0.43302181363105774,0.01866472385485064,24.106813777576793,0.17517408620521066
9,54.59307861328125,3.258404292312323,30.310194165098903,0.44923100167629765,0.20183075964450836,0.4283488988876343,0.018664256838912315,23.868112910877574,0.05104272394134383
10,54.34108853807636,3.4824358248243144,30.064483792174098,0.44749607291876103,0.20658236742019653,0.43457943201065063,0.018729299899529327,23.739442131736062,0.05234051555942113
