epoch,train_loss,train_kl,train_rec,train_clf,val_f1,val_acc,val_mse,val_perceptual,decoder_grad_norm
1,87.2408623788871,0.3318777060976215,44.122848884732115,0.8724775010464239,0.08999284356832504,0.12461059540510178,0.06674013591625473,36.669224825772375,0.3002434913614736
2,62.69793327181947,1.1875793641688777,38.179352853812425,0.8510936031154558,0.20581182837486267,0.2133956402540207,0.055450847880406814,31.71316250887784,0.3286113896038844
3,53.47314318488626,1.884470684855592,31.486688165103686,0.8412290858287438,0.1972680687904358,0.3473520278930664,0.041069139472462914,23.671254244717684,0.6273091957233187
4,46.148827421898936,2.2893941192065967,23.9726391212613,0.8388331088365293,0.3142518401145935,0.12461059540510178,0.031966540454463524,17.94279809431596,0.0892695140897855
5,41.93857185513365,2.6683829251457665,19.39699419806985,0.8412530328713211,0.21876205503940582,0.4267912805080414,0.024255345998839897,13.850804328918457,0.4419143233616505
6,39.1398790396896,2.963550418030982,16.354995615342084,0.8276098756229177,0.28269311785697937,0.24454829096794128,0.019966331649232994,11.751002138311213,0.42013486256036786
7,37.61664700975605,3.267145792643229,14.480460166931152,0.8400989174842834,0.22383064031600952,0.3317756950855255,0.017542159438810566,10.567550919272684,0.3271940368668371
8,36.76172996969784,3.5024393446305218,13.378672207103056,0.8233341948658812,0.2744591534137726,0.3052959442138672,0.014917035841129044,9.309260021556508,0.32314553753937064
9,36.29279043160233,3.761991585002226,12.616819344314875,0.8280734770438251,0.31835439801216125,0.32398754358291626,0.013765731911090288,8.82275459983132,0.22748655167639947
10,36.390764273849186,4.035754124323527,12.325431225346584,0.8324595479404225,0.2513120770454407,0.3193146288394928,0.013945026238533583,8.712020830674605,0.25145443087188524
